"name","colorIdentity","manaCost","text","type","types","subtypes","edhrecSaltiness","printings"
"Song of the Worldsoul","W","{4}{W}{W}","Whenever you cast a spell, populate. (Create a token that's a copy of a creature token you control.)","Enchantment","Enchantment","",0.25,"C19"
"Ghired's Belligerence","R","{X}{R}{R}","Ghired's Belligerence deals X damage divided as you choose among any number of target creatures. Whenever a creature dealt damage this way dies this turn, populate. (Create a token that's a copy of a creature token you control.)","Sorcery","Sorcery","",0.12,"C19"
"Full Flowering","G","{X}{X}{G}","Populate X times. (To populate, create a token that's a copy of a creature token you control. Do this X times.)","Sorcery","Sorcery","",0.57,"C19"
"Selesnya Eulogist","G","{2}{G}","{2}{G}: Exile target creature card from a graveyard, then populate. (Create a token that's a copy of a creature token you control.)","Creature — Centaur Druid","Creature","Centaur, Druid",0.2,"C19"
"Ghired, Conclave Exile","G, R, W","{2}{R}{G}{W}","When Ghired enters, create a 4/4 green Rhino creature token with trample.\nWhenever Ghired attacks, populate. The token enters tapped and attacking. (To populate, create a token that's a copy of a creature token you control.)","Legendary Creature — Human Shaman","Creature","Human, Shaman",0.55,"C19, OC19, PLST"
"Rootborn Defenses","W","{2}{W}","Populate. Creatures you control gain indestructible until end of turn. (To populate, create a token that's a copy of a creature token you control.)","Instant","Instant","",0.2,"C19, CLU, MM3, PLST, RTR, RVR, SCD"
"Trostani's Judgment","W","{5}{W}","Exile target creature, then populate. (Create a token that's a copy of a creature token you control.)","Instant","Instant","",0.27,"C19, PLST, RTR"
"Druid's Deliverance","G","{1}{G}","Prevent all combat damage that would be dealt to you this turn. Populate. (Create a token that's a copy of a creature token you control.)","Instant","Instant","",0.08,"C19, MM3, RTR"
"Growing Ranks","G, W","{2}{G/W}{G/W}","At the beginning of your upkeep, populate. (Create a token that's a copy of a creature token you control.)","Enchantment","Enchantment","",0.21,"C19, GK1, PIO, RTR"
"Sundering Growth","G, W","{G/W}{G/W}","Destroy target artifact or enchantment, then populate. (Create a token that's a copy of a creature token you control.)","Instant","Instant","",0.17,"C19, GK1, MM3, RTR"
"Trostani, Selesnya's Voice","G, W","{G}{G}{W}{W}","Whenever another creature you control enters, you gain life equal to that creature's toughness.\n{1}{G}{W}, {T}: Populate. (Create a token that's a copy of a creature token you control.)","Legendary Creature — Dryad","Creature","Dryad",0.2,"C19, GK1, PLST, RTR"
"Vitu-Ghazi Guildmage","G, W","{G}{W}","{4}{G}{W}: Create a 3/3 green Centaur creature token.\n{2}{G}{W}: Populate. (Create a token that's a copy of a creature token you control.)","Creature — Dryad Shaman","Creature","Dryad, Shaman",NA,"C19, PLST, RTR"
"Wayfaring Temple","G, W","{1}{G}{W}","Wayfaring Temple's power and toughness are each equal to the number of creatures you control.\nWhenever this creature deals combat damage to a player, populate. (Create a token that's a copy of a creature token you control.)","Creature — Elemental","Creature","Elemental",0.07,"C19, MM3, PLST, RTR"
"Ate-o'-Clock","G","{2}{G}","Populate. Proliferate. Investigate.\nRegenerate target creature.\nReplicate {2}{G} (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copy.)","Instant","Instant","",NA,"DA1"
"Scion of Vitu-Ghazi","W","{3}{W}{W}","When this creature enters, if you cast it from your hand, create a 1/1 white Bird creature token with flying, then populate. (Create a token that's a copy of a creature token you control.)","Creature — Elemental","Creature","Elemental",0.29,"DGM"
"Wake the Reflections","W","{W}","Populate. (Create a token that's a copy of a creature token you control.)","Sorcery","Sorcery","",NA,"DGM, MM3, PLST"
"Arboreal Alliance","G","{X}{G}{G}","When this enchantment enters, create an X/X green Treefolk creature token.\nWhenever you attack with one or more Elves, populate. (Create a token that's a copy of a creature token you control.)","Enchantment","Enchantment","",0.2,"LTC"
"Muster the Departed","W","{2}{W}","When this enchantment enters, create a 1/1 white Spirit creature token with flying.\nMorbid — At the beginning of your end step, if a creature died this turn, populate. (Create a token that's a copy of a creature token you control.)","Enchantment","Enchantment","",0.11,"MH3"
"Eyes in the Skies","W","{3}{W}","Create a 1/1 white Bird creature token with flying, then populate. (Create a token that's a copy of a creature token you control.)","Instant","Instant","",NA,"MM3, PLST, RTR, RVR"
"Nesting Dovehawk","W","{3}{W}","Flying\nAt the beginning of combat on your turn, populate. (Create a token that's a copy of a creature token you control.)\nWhenever a creature token you control enters, put a +1/+1 counter on this creature.","Creature — Bird","Creature","Bird",0.58,"MOC"
"Determined Iteration","R","{1}{R}","At the beginning of combat on your turn, populate. The token created this way gains haste. Sacrifice it at the beginning of the next end step. (To populate, create a token that's a copy of a creature token you control.)","Enchantment","Enchantment","",0.14,"NCC, PNCC"
"Life Finds a Way","G","{2}{G}","Whenever a nontoken creature you control with power 4 or greater enters, populate. (Create a token that's a copy of a creature token you control.)","Enchantment","Enchantment","",0.55,"REX"
"Horncaller's Chant","G","{7}{G}","Create a 4/4 green Rhino creature token with trample, then populate. (Create a token that's a copy of a creature token you control.)","Sorcery","Sorcery","",NA,"RTR, RVR"
"Coursers' Accord","G, W","{4}{G}{W}","Create a 3/3 green Centaur creature token, then populate. (Create a token that's a copy of a creature token you control.)","Sorcery","Sorcery","",NA,"RTR"
