Card,Got
Adarkar Wastes,Y
Alchemist's Refuge,
An Offer You Can't Refuse,Y
Arbiter of Knollridge,
Arcane Denial,
Arcane Signet,Y
Beast Within,
Benevolent Offering,
Bovine Intervention,
Brushland,Y
Canopy Vista,Y
Círdan the Shipwright,
Command Tower,Y
Communal Brewing,Y
Dawnbreak Reclaimer,
Dawn's Truce,Y
Dissipation Field,
Duelist's Heritage,
Evolution Witness,Y
Excavation Technique,
Final-Word Phantom,
Flooded Grove,Y
Forest,Y
Fractured Identity,
Geier Reach Sanitarium,
Generous Gift,Y
Generous Pup,
Ghirapur Orrery,Y
Glacial Fortress,Y
"Gluntch, the Bestower",Y
"Gor Muldrak, Amphinologist",
Healing Technique,
Hinterland Harbor,Y
Hunted Lammasu,
Hunted Phantasm,
Immortal Obligation,
Incubation Druid,
Inspiring Call,Y
Irrigated Farmland,
Island,Y
Kabira Takedown // Kabira Plateau,Y
Kami of Whispered Hopes,
Khalni Ambush // Khalni Territory,
"Kianne, Corrupted Memory",
Loran of the Third Path,Y
Magus of the Moat,
Misleading Signpost,
Ms. Bumbleflower,Y
Mystic Gate,
Nature's Claim,
Nullmage Advocate,
Oblation,
Octomancer,Y
Ox Drover,
Path of Ancestry,Y
Perch Protection,Y
Perplexing Chimera,
Plains,Y
Prairie Stream,Y
Propaganda,
Rapid Hybridization,
Replication Technique,
Rootweaver Druid,
Sail into the West,
Sakura-Tribe Elder,
Scattered Groves,
Seaside Citadel,Y
Sejiri Shelter // Sejiri Glacier,
Shieldmage Advocate,
Simic Ascendancy,Y
Skullwinder,
Sol Ring,Y
Sphinx of Enlightenment,Y
Spurnmage Advocate,
Sunpetal Grove,Y
Swiftfoot Boots,Y
Swords to Plowshares,Y
Temple of Enlightenment,Y
Temple of Mystery,Y
Temple of Plenty,Y
Terramorphic Expanse,Y
Tranquil Landscape,Y
Trap the Trespassers,
Victory Chimes,
View from Above,
Windborn Muse,Y
Winds of Abandon,
Words of Wisdom,
Yavimaya Coast,Y
