card_name,commander
"Ghired, Conclave Exile",Y
Harmonize,
Graypelt Refuge,
Sundown Pass,
Ash Barrens,
Gruul War Chant,
Jetmir's Garden,
"Oviya Pashiri, Sage Lifecrafter",
Forest,
Feldon of the Third Path,
Boros Garrison,
Second Harvest,
Combat Celebrant,
Shamanic Revelation,
Sungrass Prairie,
Plains,
Rootborn Defenses,
Rampaging Baloths,
Colossal Majesty,
Growing Ranks,
Farseek,
Ghired's Belligerence,
Forest,
Plains,
Mountain,
Mimic Vat,
Sandwurm Convergence,
Garruk's Packleader,
Vitu-Ghazi Guildmage,
Fyndhorn Elves,
Beast Within,
Selesnya Sanctuary,
Wake the Reflections,
Druid's Deliverance,
Twinflame,
"Trostani, Selesnya's Voice",
Gruul Turf,
Trostani's Judgment,
Evolving Wilds,
Ohran Frostfang,
Flamerush Rider,
Command Tower,
Forest,
Cultivate,
Momentous Fall,
Temple of Plenty,
Forest,
Scion of Vitu-Ghazi,
Hour of Reckoning,
Soul Foundry,
Plains,
Dragonmaster Outcast,
Sundering Growth,
Maze of Ith,
Plains,
Terramorphic Expanse,
Mountain,
Fresh Meat,
Kazandu Refuge,
"Aurelia, the Warleader",
Sakura-Tribe Elder,
Naya Charm,
Myriad Landscape,
Rugged Highlands,
Selesnya Eulogist,
Idol of Oblivion,
Jungle Shrine,
Dromoka's Command,
"Garruk, Primal Hunter",
The Elder Dragon War,
Full Flowering,
Voice of Many,
Aura Shards,
Vanquish the Horde,
Kodama's Reach,
Forest,
Duke Ulder Ravengard,
Krosan Verge,
Lightning Greaves,
Cliffside Rescuer,
Elemental Bond,
Heart-Piercer Manticore,
Hate Mirage,
Wayfaring Temple,
Rogue's Passage,
Gargoyle Castle,
Plains,
Intangible Virtue,
Mountain,
Farhaven Elf,
Cinder Glade,
Slice in Twain,
Forest,
"Kiki-Jiki, Mirror Breaker",
Mountain,
Sol Ring,
Temple of Triumph,
Blossoming Sands,
Exotic Orchard,
"Gwenna, Eyes of Gaea",
